,0,1,2
60,CHEMBL2002,Homo sapiens,Inosine-5'-monophosphate dehydrogenase 2
61,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme
62,CHEMBL1939,Plasmodium falciparum K1,Dihydrofolate reductase
63,CHEMBL1782,Homo sapiens,Farnesyl diphosphate synthase
64,CHEMBL217,Homo sapiens,Dopamine D2 receptor
65,CHEMBL1973,Homo sapiens,Tyrosinase
66,CHEMBL1962,Homo sapiens,GABA receptor alpha-1 subunit
67,CHEMBL1908,Homo sapiens,Cytochrome P450 11B1
68,CHEMBL1812,Homo sapiens,Pancreatic lipase
69,CHEMBL1963,Homo sapiens,Thyroid stimulating hormone receptor
70,CHEMBL1787,Homo sapiens,Steroid 5-alpha-reductase 1
71,CHEMBL1902,Homo sapiens,FK506-binding protein 1A
72,CHEMBL1842,Homo sapiens,Myeloid cell surface antigen CD33
73,CHEMBL1843,Homo sapiens,DOPA decarboxylase
74,CHEMBL1822,Homo sapiens,Inosine-5'-monophosphate dehydrogenase 1
75,CHEMBL1951,Homo sapiens,Monoamine oxidase A
76,CHEMBL218,Homo sapiens,Cannabinoid CB1 receptor
77,CHEMBL2056,Homo sapiens,Dopamine D1 receptor
78,CHEMBL1846,Homo sapiens,Ryanodine receptor 1
79,CHEMBL219,Homo sapiens,Dopamine D4 receptor
80,CHEMBL2023,Homo sapiens,Catechol O-methyltransferase
81,CHEMBL220,Homo sapiens,Acetylcholinesterase
82,CHEMBL1854,Homo sapiens,Luteinizing hormone/Choriogonadotropin receptor
83,CHEMBL221,Homo sapiens,Cyclooxygenase-1
84,CHEMBL2075,Homo sapiens,Cyclophilin B
85,CHEMBL1830,Homo sapiens,Ribonucleoside-diphosphate reductase M1 chain
86,CHEMBL2024,Homo sapiens,Follicle stimulating hormone receptor
87,CHEMBL222,Homo sapiens,Norepinephrine transporter
88,CHEMBL1941,Homo sapiens,Histamine H2 receptor
89,CHEMBL223,Homo sapiens,Alpha-1d adrenergic receptor
90,CHEMBL2039,Homo sapiens,Monoamine oxidase B
91,CHEMBL1983,Homo sapiens,Serotonin 1d (5-HT1d) receptor
92,CHEMBL1898,Homo sapiens,Serotonin 1b (5-HT1b) receptor
93,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor
94,CHEMBL225,Homo sapiens,Serotonin 2c (5-HT2c) receptor
95,CHEMBL1984,Escherichia coli K-12,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
96,CHEMBL1857,Escherichia coli K-12,Enoyl-[acyl-carrier-protein] reductase
97,CHEMBL1786,Homo sapiens,Inositol-1(or 4)-monophosphatase 1
98,CHEMBL1790,Homo sapiens,Vasopressin V2 receptor
99,CHEMBL1903,Homo sapiens,GABA transporter 1
100,CHEMBL226,Homo sapiens,Adenosine A1 receptor
101,CHEMBL227,Homo sapiens,Type-1 angiotensin II receptor
102,CHEMBL2049,Homo sapiens,Oxytocin receptor
103,CHEMBL1804,Homo sapiens,Somatostatin receptor 2
104,CHEMBL1855,Homo sapiens,Gonadotropin-releasing hormone receptor
105,CHEMBL1832,Homo sapiens,Calcitonin receptor
106,CHEMBL1856,Homo sapiens,Steroid 5-alpha-reductase 2
107,CHEMBL228,Homo sapiens,Serotonin transporter
108,CHEMBL1888,Saccharomyces cerevisiae S288c,Squalene monooxygenase
109,CHEMBL1861,Homo sapiens,4-hydroxyphenylpyruvate dioxygenase
110,CHEMBL1800,Homo sapiens,Corticotropin releasing factor receptor 1
111,CHEMBL229,Homo sapiens,Alpha-1a adrenergic receptor
112,CHEMBL230,Homo sapiens,Cyclooxygenase-2
113,CHEMBL231,Homo sapiens,Histamine H1 receptor
114,CHEMBL232,Homo sapiens,Alpha-1b adrenergic receptor
115,CHEMBL233,Homo sapiens,Mu opioid receptor
116,CHEMBL234,Homo sapiens,Dopamine D3 receptor
117,CHEMBL1845,Homo sapiens,Sodium channel protein type I alpha subunit
118,CHEMBL1791,Homo sapiens,Amiloride-sensitive sodium channel alpha-subunit
119,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma
120,CHEMBL1889,Homo sapiens,Vasopressin V1a receptor
121,CHEMBL236,Homo sapiens,Delta opioid receptor
122,CHEMBL237,Homo sapiens,Kappa opioid receptor
123,CHEMBL2014,Homo sapiens,Nociceptin receptor
124,CHEMBL1982,Staphylococcus aureus,Isoleucyl-tRNA synthetase
125,CHEMBL1987,Homo sapiens,Prostanoid FP receptor
126,CHEMBL1881,Homo sapiens,Prostanoid EP2 receptor
127,CHEMBL1995,Homo sapiens,Prostanoid IP receptor
128,CHEMBL1899,Homo sapiens,Serotonin 3a (5-HT3a) receptor
129,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase
130,CHEMBL1985,Homo sapiens,Glucagon receptor
131,CHEMBL1925,Homo sapiens,Secretin receptor
132,CHEMBL1921,Homo sapiens,Vasopressin V1b receptor
133,CHEMBL1929,Homo sapiens,Xanthine dehydrogenase
134,CHEMBL1919,Homo sapiens,Voltage-gated calcium channel alpha2/delta subunit 1
135,CHEMBL1876,Homo sapiens,Thiazide-sensitive sodium-chloride cotransporter
136,CHEMBL1877,Mycobacterium tuberculosis,Arabinosyltransferase A
137,CHEMBL2044,Homo sapiens,Gamma-amino-N-butyrate transaminase
138,CHEMBL1965,Homo sapiens,Melanocortin receptor 2
139,CHEMBL238,Homo sapiens,Dopamine transporter
140,CHEMBL1966,Homo sapiens,Dihydroorotate dehydrogenase
141,CHEMBL2032,Homo sapiens,Growth hormone-releasing hormone receptor
142,CHEMBL1777,Plasmodium falciparum,Cytochrome b
143,CHEMBL1793,Homo sapiens,Parathyroid hormone receptor
144,CHEMBL2015,Homo sapiens,Glutamate (NMDA) receptor subunit zeta 1
145,CHEMBL1893,Homo sapiens,Synaptic vesicular amine transporter
146,CHEMBL239,Homo sapiens,Peroxisome proliferator-activated receptor alpha
147,CHEMBL2071,Homo sapiens,Sulfonylurea receptor 1
148,CHEMBL240,Homo sapiens,HERG
149,CHEMBL1972,Homo sapiens,Glutamate [NMDA] receptor subunit epsilon 1
150,CHEMBL1874,Homo sapiens,Sodium-(potassium)-chloride cotransporter 2
151,CHEMBL1875,Homo sapiens,Serotonin 4 (5-HT4) receptor
152,CHEMBL1940,Homo sapiens,Voltage-gated L-type calcium channel alpha-1C subunit
153,CHEMBL241,Homo sapiens,Phosphodiesterase 3A
154,CHEMBL1927,Homo sapiens,Thioredoxin reductase 1
155,CHEMBL242,Homo sapiens,Estrogen receptor beta
156,CHEMBL1997,Homo sapiens,Equilibrative nucleoside transporter 1
157,CHEMBL2001,Homo sapiens,Purinergic receptor P2Y12
158,CHEMBL1798,Homo sapiens,Cysteinyl leukotriene receptor 1
159,CHEMBL1949,Homo sapiens,Cyclophilin A
160,CHEMBL2058,Homo sapiens,B-lymphocyte antigen CD20
161,CHEMBL1778,Homo sapiens,Interleukin-2 receptor alpha chain
162,CHEMBL1928,Hepatitis B virus adw2/Southern-Africa/Cai,Major surface antigen
163,CHEMBL1892,Homo sapiens,Glutamate carboxypeptidase II
164,CHEMBL1825,Homo sapiens,TNF-alpha
165,CHEMBL2036,Clostridium tetani (strain Massachusetts / E88),Tetanus toxin
166,CHEMBL1783,Homo sapiens,Vascular endothelial growth factor A
167,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2
168,CHEMBL1803,Homo sapiens,Leukocyte adhesion glycoprotein LFA-1 alpha
169,CHEMBL243,Human immunodeficiency virus 1,Human immunodeficiency virus type 1 protease
170,CHEMBL2016,Homo sapiens,Coagulation factor IX
171,CHEMBL244,Homo sapiens,Coagulation factor X
172,CHEMBL2059,Homo sapiens,TNF-beta
173,CHEMBL2040,Homo sapiens,T-cell surface antigen CD2
174,CHEMBL1913,Homo sapiens,Platelet-derived growth factor receptor beta
175,CHEMBL1959,Homo sapiens,Interleukin-1 receptor
176,CHEMBL1887,Homo sapiens,Interferon-alpha/beta receptor alpha chain
177,CHEMBL1817,Homo sapiens,Erythropoietin receptor
178,CHEMBL1912,Homo sapiens,CAMPATH-1 antigen
179,CHEMBL2050,Homo sapiens,Interleukin 11 receptor alpha
180,CHEMBL1996,Homo sapiens,Granulocyte colony stimulating factor receptor
181,CHEMBL3000,Homo sapiens,Elastase 1
182,CHEMBL1814,Escherichia coli K-12,Penicillin-binding protein 1B
183,CHEMBL1820,Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1),Thymidine kinase
184,CHEMBL1821,Homo sapiens,Muscarinic acetylcholine receptor M4
185,CHEMBL2035,Homo sapiens,Muscarinic acetylcholine receptor M5
186,CHEMBL1942,Homo sapiens,Alpha-2b adrenergic receptor
187,CHEMBL1916,Homo sapiens,Alpha-2c adrenergic receptor
188,CHEMBL245,Homo sapiens,Muscarinic acetylcholine receptor M3
189,CHEMBL1850,Homo sapiens,Dopamine D5 receptor
190,CHEMBL1920,Homo sapiens,GABA receptor beta-2 subunit
191,CHEMBL1904,Homo sapiens,Glutamate [NMDA] receptor subunit epsilon 2
192,CHEMBL2062,Homo sapiens,Ryanodine receptor 3
193,CHEMBL1930,Homo sapiens,Vitamin k epoxide reductase complex subunit 1 isoform 1
194,CHEMBL246,Homo sapiens,Beta-3 adrenergic receptor
195,CHEMBL1833,Homo sapiens,Serotonin 2b (5-HT2b) receptor
196,CHEMBL247,Human immunodeficiency virus 1,Human immunodeficiency virus type 1 reverse transcriptase
197,CHEMBL1834,Homo sapiens,Ig epsilon chain C region
198,CHEMBL2060,Homo sapiens,Lipoprotein lipase
199,CHEMBL1975,Homo sapiens,T-cell surface glycoprotein CD3 epsilon chain
200,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor
201,CHEMBL248,Homo sapiens,Leukocyte elastase
202,CHEMBL1944,Homo sapiens,Neprilysin
203,CHEMBL4618,Homo sapiens,Leukotriene A4 hydrolase
204,CHEMBL1936,Homo sapiens,Stem cell growth factor receptor
205,CHEMBL2003,Homo sapiens,Retinoic acid receptor gamma
206,CHEMBL1958,Homo sapiens,3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I
207,CHEMBL1900,Homo sapiens,Aldose reductase
208,CHEMBL1907,Homo sapiens,Aminopeptidase N
209,CHEMBL1988,Homo sapiens,Atrial natriuretic peptide receptor A
210,CHEMBL1989,Homo sapiens,Renal dipeptidase
211,CHEMBL2069,Homo sapiens,Thromboxane A2 receptor
212,CHEMBL1785,Homo sapiens,Endothelin receptor ET-B
213,CHEMBL1835,Homo sapiens,Thromboxane-A synthase
214,CHEMBL252,Homo sapiens,Endothelin receptor ET-A
215,CHEMBL249,Homo sapiens,Neurokinin 1 receptor
216,CHEMBL250,Homo sapiens,Platelet activating factor receptor
217,CHEMBL251,Homo sapiens,Adenosine A2a receptor
218,CHEMBL3224,Saccharomyces cerevisiae S288c,C-8 sterol isomerase
219,CHEMBL253,Homo sapiens,Cannabinoid CB2 receptor
220,CHEMBL1810,Homo sapiens,Thyrotropin-releasing hormone receptor
221,CHEMBL1811,Homo sapiens,Prostanoid EP1 receptor
222,CHEMBL1836,Homo sapiens,Prostanoid EP4 receptor
223,CHEMBL1837,Trypanosoma brucei brucei,Trypanothione reductase
224,CHEMBL1864,Homo sapiens,Thrombopoietin receptor
225,CHEMBL2004,Homo sapiens,Retinoid X receptor gamma
226,CHEMBL1838,Homo sapiens,Vesicular amine transporter 1
227,CHEMBL2008,Homo sapiens,Retinoic acid receptor beta
228,CHEMBL1947,Homo sapiens,Thyroid hormone receptor beta-1
229,CHEMBL1869,Homo sapiens,Ornithine decarboxylase
230,CHEMBL2061,Homo sapiens,Retinoid X receptor alpha
231,CHEMBL254,Homo sapiens,Phosphodiesterase 4A
232,CHEMBL1870,Homo sapiens,Retinoid X receptor beta
233,CHEMBL255,Homo sapiens,Adenosine A2b receptor
234,CHEMBL1805,Homo sapiens,Serotonin 1f (5-HT1f) receptor
235,CHEMBL256,Homo sapiens,Adenosine A3 receptor
236,CHEMBL1878,Homo sapiens,Calcium sensing receptor
237,CHEMBL1911,Homo sapiens,Succinate semialdehyde dehydrogenase
238,CHEMBL1886,Homo sapiens,"Potassium channel, inwardly rectifying, subfamily J, member 11"
239,CHEMBL2063,Homo sapiens,Ceramide glucosyltransferase
240,CHEMBL1923,Plasmodium falciparum,Histidine-rich protein
241,CHEMBL1895,Escherichia coli K-12,Topoisomerase IV subunit A
242,CHEMBL1993,Homo sapiens,DNA (cytosine-5)-methyltransferase 1
243,CHEMBL1992,Homo sapiens,DNA (cytosine-5)-methyltransferase 3A
244,CHEMBL2013,Plasmodium falciparum,Dihydropteroate synthetase
245,CHEMBL2006,Mycobacterium tuberculosis,DNA-directed RNA polymerase beta chain
246,CHEMBL2030,Mycobacterium tuberculosis,D-alanylalanine synthetase
247,CHEMBL2031,Mycobacterium tuberculosis,Alanine racemase
248,CHEMBL2027,Homo sapiens,Niemann-Pick C1-like protein 1
249,CHEMBL2037,Candida albicans,"Beta-1,3-glucan synthase"
250,CHEMBL4712,Homo sapiens,Neutral sphingomyelinase
251,CHEMBL2581,Homo sapiens,Cathepsin D
252,CHEMBL4713,Homo sapiens,"Carboxypeptidase N, catalytic subunit"
253,CHEMBL2134,Mus musculus,Cyclin-dependent kinase 4
254,CHEMBL2582,Homo sapiens,Cyclin A2
255,CHEMBL4329,Mus musculus,Kappa opioid receptor
256,CHEMBL5113,Homo sapiens,Orexin receptor 1
257,CHEMBL2135,Rattus norvegicus,P2X purinoceptor 2
258,CHEMBL5135,Cavia porcellus,Voltage-gated potassium channel subunit Kv7.1
259,CHEMBL4714,Homo sapiens,Pyrimidinergic receptor P2Y6
260,CHEMBL4715,Sus scrofa,Phospholipase A2 group 1B
261,CHEMBL5136,Cavia porcellus,Platelet activating factor receptor
262,CHEMBL4330,Homo sapiens,Cysteinyl leukotriene receptor 2
263,CHEMBL4716,Homo sapiens,Phosphodiesterase 7B
264,CHEMBL2136,Homo sapiens,Pepsinogen C
265,CHEMBL4763,Homo sapiens,"Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform"
266,CHEMBL2583,Mus musculus,Serotonin 2b (5-HT2b) receptor
267,CHEMBL4764,Mus musculus,Serotonin 7 (5-HT7) receptor
268,CHEMBL2584,Rattus norvegicus,Neuronal acetylcholine receptor protein alpha-2 subunit
269,CHEMBL2585,Rattus norvegicus,Neuronal acetylcholine receptor protein alpha-9 subunit
270,CHEMBL257,Rattus norvegicus,Angiotensin II type 2 (AT-2) receptor
271,CHEMBL2026,Escherichia coli K-12,Beta-lactamase AmpC
272,CHEMBL4977,Homo sapiens,Proto-oncogene c-JUN
273,CHEMBL4549,Homo sapiens,Apolipoprotein B-100
274,CHEMBL3373,Bos taurus,Beta-2 adrenergic receptor
275,CHEMBL3817,Homo sapiens,Bcl2-antagonist of cell death (BAD)
276,CHEMBL4114,Staphylococcus aureus,Beta-lactamase
277,CHEMBL3157,Homo sapiens,Bradykinin B2 receptor
278,CHEMBL2139,Homo sapiens,Insulin-like growth factor binding protein 6
279,CHEMBL2466,Mus musculus,Interleukin-2
280,CHEMBL2157,Homo sapiens,Interleukin-8
281,CHEMBL2467,Mus musculus,Thyrotropin-releasing hormone receptor
282,CHEMBL3158,Penicillium chrysogenum,Isopenicillin N synthetase
283,CHEMBL3159,Homo sapiens,Trypsin II
284,CHEMBL3629,Homo sapiens,Casein kinase II alpha
285,CHEMBL3160,Mus musculus,Thymidylate synthase
286,CHEMBL2158,Homo sapiens,ADP-ribosyltransferase
287,CHEMBL2159,Homo sapiens,Nucleoside diphosphate kinase 1
288,CHEMBL2160,Homo sapiens,Nucleoside diphosphate kinase 2
289,CHEMBL2468,Homo sapiens,Death-associated protein kinase 3
290,CHEMBL3460,Homo sapiens,HLA class II histocompatibility antigen DRB3-1
291,CHEMBL2161,Homo sapiens,Glutathione transferase omega 2
292,CHEMBL2469,Homo sapiens,Uridine-cytidine kinase 2
293,CHEMBL3142,Homo sapiens,DNA-dependent protein kinase
294,CHEMBL2470,Rattus norvegicus,Cannabinoid CB2 receptor
295,CHEMBL3719,Mus musculus,Melanocortin receptor 4
296,CHEMBL3313,Torpedo californica,Vesicular acetylcholine transporter
297,CHEMBL3423,Escherichia coli K-12,Methionine aminopeptidase
298,CHEMBL2442,Homo sapiens,Kallikrein 2
299,CHEMBL2443,Homo sapiens,Kallikrein 7
300,CHEMBL1796,Homo sapiens,Gastric lipase
301,CHEMBL4068,Homo sapiens,Chymase
302,CHEMBL2626,Sus scrofa,Renal dipeptidase
303,CHEMBL2163,Rattus norvegicus,Vitamin D-binding protein
304,CHEMBL2446,Mus musculus,Corticotropin releasing factor receptor 1
305,CHEMBL3583,Homo sapiens,1-acylglycerol-3-phosphate O-acyltransferase alpha
306,CHEMBL3314,Bos taurus,Alpha-chymotrypsin
307,CHEMBL2164,Homo sapiens,Serine/threonine protein phosphatase PP1-alpha catalytic subunit
308,CHEMBL2574,Mus musculus,Dopamine D4 receptor
309,CHEMBL2447,Homo sapiens,Deoxycytidine kinase
310,CHEMBL2448,Caenorhabditis elegans,Deoxycytidylate deaminase
311,CHEMBL4647,Homo sapiens,Peptide deformylase mitochondrial
312,CHEMBL4976,Escherichia coli K-12,Peptide deformylase
313,CHEMBL2465,Homo sapiens,Dihydropyrimidinase
314,CHEMBL2167,Homo sapiens,Transforming protein p21/H-Ras-1
315,CHEMBL2329,Candida albicans,Dihydrofolate reductase
316,CHEMBL2575,Gallus gallus,Dihydrofolate reductase
317,CHEMBL2576,Saccharomyces cerevisiae S288c,Dihydrofolate reductase
318,CHEMBL2940,Homo sapiens,Immunoglobulin epsilon Fc receptor
319,CHEMBL2120,Homo sapiens,Acidic fibroblast growth factor
320,CHEMBL4550,Homo sapiens,5-lipoxygenase activating protein
321,CHEMBL2121,Homo sapiens,Folate receptor alpha
322,CHEMBL4137,Leishmania mexicana,Glyceraldehyde-3-phosphate dehydrogenase cytosolic
323,CHEMBL4769,Homo sapiens,Geranylgeranyl pyrophosphate synthetase
324,CHEMBL2578,Magnaporthe oryzae (strain 70-15 / FGSC 8958) (Rice blast fungus)(Pyricularia oryzae),Scytalone dehydratase
325,CHEMBL4830,Mus musculus,Growth factor receptor-bound protein 2
326,CHEMBL2978,Rattus norvegicus,Somatostatin receptor 2
327,CHEMBL4886,Rattus norvegicus,Aryl sulfotransferase
328,CHEMBL2882,Cavia porcellus,Histamine H2 receptor
329,CHEMBL4831,Rattus norvegicus,Estrogen sulfotransferase 3
330,CHEMBL4832,Homo sapiens,Transcription initiation factor IIA alpha and bTranscription initiation factor IIA alpha and beta chains
331,CHEMBL4609,Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)(HIV-1),Human immunodeficiency virus type 1 Tat protein
332,CHEMBL3961,Homo sapiens,MAP kinase p38 beta
333,CHEMBL4551,Homo sapiens,Trypsin III
334,CHEMBL4833,Homo sapiens,Folate transporter 1
335,CHEMBL2077,Homo sapiens,Alcohol sulfotransferase
336,CHEMBL2883,Homo sapiens,"Thymidine kinase, cytosolic"
337,CHEMBL4834,Homo sapiens,Cytosolic phospholipase A2 gamma
338,CHEMBL2334,Homo sapiens,Caspase-3
339,CHEMBL2079,Homo sapiens,Cellular retinoic acid-binding protein I
340,CHEMBL3429,Homo sapiens,Estrogen-related receptor alpha
341,CHEMBL3514,Homo sapiens,LDL-associated phospholipase A2
342,CHEMBL2885,Homo sapiens,Carbonic anhydrase III
343,CHEMBL258,Homo sapiens,Tyrosine-protein kinase LCK
344,CHEMBL4835,Homo sapiens,L-lactate dehydrogenase A chain
345,CHEMBL259,Homo sapiens,Melanocortin receptor 4
346,CHEMBL4877,Homo sapiens,Neuropeptide Y receptor type 4
347,CHEMBL3898,Homo sapiens,Bone morphogenetic protein 1
348,CHEMBL4923,Homo sapiens,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 2
349,CHEMBL4878,Homo sapiens,Cytochrome P450 1B1
350,CHEMBL4879,Homo sapiens,Fatty acid binding protein intestinal
351,CHEMBL3855,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),UDP-3-O-acyl-GlcNAc deacetylase
352,CHEMBL2360,Homo sapiens,Hypoxanthine-guanine phosphoribosyltransferase
353,CHEMBL4872,Homo sapiens,Voltage-gated potassium channel beta subunit Mink
354,CHEMBL2886,Homo sapiens,Phosphoglycerate kinase 1
355,CHEMBL4880,Homo sapiens,Triosephosphate isomerase
356,CHEMBL3167,Homo sapiens,Serum paraoxonase/arylesterase 1
357,CHEMBL2887,Homo sapiens,Hemoglobin alpha subunit
358,CHEMBL2081,Homo sapiens,Glutathione S-transferase Mu 1
359,CHEMBL4116,Homo sapiens,Alcohol dehydrogenase class III
360,CHEMBL4881,Homo sapiens,Aldehyde dehydrogenase X
361,CHEMBL3721,Homo sapiens,Cytochrome P450 2C8
362,CHEMBL2888,Homo sapiens,Metabotropic glutamate receptor 3
363,CHEMBL4589,Homo sapiens,Glutathione S-transferase Mu 2
364,CHEMBL3959,Homo sapiens,Quinone reductase 2
365,CHEMBL4798,Bos taurus,Vacuolar H(+)-ATPase
366,CHEMBL3421,Homo sapiens,Phosphodiesterase 1A
367,CHEMBL2985,Mus musculus,Voltage-gated potassium channel subunit Kv7.2
368,CHEMBL4883,Homo sapiens,Urokinase plasminogen activator surface receptor
369,CHEMBL1853,Homo sapiens,Somatostatin receptor 4
370,CHEMBL2327,Homo sapiens,Neurokinin 2 receptor
371,CHEMBL3589,Homo sapiens,Adenosine kinase
372,CHEMBL3025,Homo sapiens,Carbonic anhydrase VI
373,CHEMBL4884,Homo sapiens,Caspase-2
374,CHEMBL260,Homo sapiens,MAP kinase p38 alpha
375,CHEMBL2083,Homo sapiens,Fatty acid binding protein adipocyte
376,CHEMBL4894,Homo sapiens,Galanin receptor 1
377,CHEMBL4938,Homo sapiens,Adenylate kinase 2
378,CHEMBL2084,Homo sapiens,Asialoglycoprotein receptor 1
379,CHEMBL261,Homo sapiens,Carbonic anhydrase I
380,CHEMBL262,Homo sapiens,Glycogen synthase kinase-3 beta
381,CHEMBL4306,Homo sapiens,Voltage-gated potassium channel subunit Kv1.5
382,CHEMBL4940,Homo sapiens,L-lactate dehydrogenase B chain
383,CHEMBL2085,Homo sapiens,Macrophage migration inhibitory factor
384,CHEMBL4941,Homo sapiens,S-methyl-5-thioadenosine phosphorylase
385,CHEMBL4942,Homo sapiens,P2X purinoceptor 5
386,CHEMBL2392,Homo sapiens,DNA polymerase beta
387,CHEMBL2918,Homo sapiens,cAMP-dependent protein kinase beta-1 catalytic subunit
388,CHEMBL4943,Homo sapiens,Kallikrein 12
389,CHEMBL3155,Homo sapiens,Serotonin 7 (5-HT7) receptor
390,CHEMBL3143,Homo sapiens,Coagulation factor VIII
391,CHEMBL2450,Sus scrofa,Coagulation factor III
392,CHEMBL3517,Sus scrofa,Elastase 1
393,CHEMBL3438,Homo sapiens,Protein kinase C zeta
394,CHEMBL4861,Homo sapiens,Subtilisin/kexin type 4
395,CHEMBL4862,Rattus norvegicus,Alcohol dehydrogenase alpha chain
396,CHEMBL4706,Rattus norvegicus,Carbonic anhydrase II
397,CHEMBL3782,Homo sapiens,Xaa-Pro aminopeptidase 1
398,CHEMBL4039,Homo sapiens,Choline acetylase
399,CHEMBL4707,Homo sapiens,Matrix metalloproteinase 26
400,CHEMBL2064,Homo sapiens,GABA-B receptor 1
401,CHEMBL2452,Rattus norvegicus,Aminopeptidase B
402,CHEMBL4827,Rattus norvegicus,Neuropeptide Y receptor type 4
403,CHEMBL2170,Rattus norvegicus,cyclic AMP phosphoprotein
404,CHEMBL2171,Homo sapiens,Dual specificity mitogen-activated protein kinase kinase 6
405,CHEMBL3776,Homo sapiens,Caspase-8
